cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_01_02,21.5,90.5,4.5,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_03,21.5,91.5,4.5,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_01_04,21.5,92.5,4.5,7d,0.019165,10,51.859,0.192832,0.003696,0.003689,0.001898,0.006534,False,
cell_01_05,21.5,93.5,4.5,7d,0.019165,48,51.859,0.925593,0.017739,0.017583,0.013151,0.023039,False,
cell_01_06,21.5,94.5,4.5,7d,0.019165,73,51.859,1.407673,0.026978,0.026617,0.021085,0.033153,False,
cell_01_07,21.5,95.5,4.5,7d,0.019165,13,51.859,0.250681,0.004804,0.004793,0.002689,0.00795,False,
cell_02_00,22.5,88.5,4.5,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_01,22.5,89.5,4.5,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_02,22.5,90.5,4.5,7d,0.019165,0,51.859,0.0,0.0,0.0,0.0,0.000928,True,"Low-statistics cell (N=0 < 5); rate CI is wide; do not interpret point rate as precise.; Zero observed events above threshold; rate upper bound (Jeffreys 95%) = 0.0484/yr, not zero.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise."
cell_02_03,22.5,91.5,4.5,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_02_04,22.5,92.5,4.5,7d,0.019165,37,51.859,0.713478,0.013674,0.013581,0.009735,0.018461,False,
cell_02_05,22.5,93.5,4.5,7d,0.019165,66,51.859,1.272691,0.024391,0.024096,0.018847,0.030354,False,
cell_02_06,22.5,94.5,4.5,7d,0.019165,177,51.859,3.413125,0.065412,0.063319,0.054746,0.072806,False,
cell_02_07,22.5,95.5,4.5,7d,0.019165,46,51.859,0.887027,0.017,0.016856,0.012525,0.022214,False,
cell_03_00,23.5,88.5,4.5,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_01,23.5,89.5,4.5,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_03_02,23.5,90.5,4.5,7d,0.019165,13,51.859,0.250681,0.004804,0.004793,0.002689,0.00795,False,
cell_03_03,23.5,91.5,4.5,7d,0.019165,10,51.859,0.192832,0.003696,0.003689,0.001898,0.006534,False,
cell_03_04,23.5,92.5,4.5,7d,0.019165,20,51.859,0.385664,0.007391,0.007364,0.004648,0.011128,False,
cell_03_05,23.5,93.5,4.5,7d,0.019165,94,51.859,1.81262,0.034739,0.034142,0.027844,0.041426,False,
cell_03_06,23.5,94.5,4.5,7d,0.019165,228,51.859,4.396568,0.08426,0.080808,0.071189,0.091299,False,
cell_03_07,23.5,95.5,4.5,7d,0.019165,29,51.859,0.559213,0.010717,0.01066,0.007302,0.015059,False,
cell_04_00,24.5,88.5,4.5,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_01,24.5,89.5,4.5,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_02,24.5,90.5,4.5,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_04_03,24.5,91.5,4.5,7d,0.019165,13,51.859,0.250681,0.004804,0.004793,0.002689,0.00795,False,
cell_04_04,24.5,92.5,4.5,7d,0.019165,31,51.859,0.597779,0.011456,0.011391,0.007905,0.015916,False,
cell_04_05,24.5,93.5,4.5,7d,0.019165,61,51.859,1.176275,0.022543,0.022291,0.017255,0.028341,False,
cell_04_06,24.5,94.5,4.5,7d,0.019165,205,51.859,3.953054,0.07576,0.072961,0.06379,0.083024,False,
cell_04_07,24.5,95.5,4.5,7d,0.019165,99,51.859,1.909036,0.036587,0.035925,0.02946,0.043371,False,
cell_05_00,25.5,88.5,4.5,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_01,25.5,89.5,4.5,7d,0.019165,5,51.859,0.096416,0.001848,0.001846,0.000705,0.004042,False,
cell_05_02,25.5,90.5,4.5,7d,0.019165,30,51.859,0.578496,0.011087,0.011026,0.007603,0.015488,False,
cell_05_03,25.5,91.5,4.5,7d,0.019165,29,51.859,0.559213,0.010717,0.01066,0.007302,0.015059,False,
cell_05_04,25.5,92.5,4.5,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_05_05,25.5,93.5,4.5,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_05_06,25.5,94.5,4.5,7d,0.019165,40,51.859,0.771328,0.014782,0.014674,0.01066,0.019719,False,
cell_05_07,25.5,95.5,4.5,7d,0.019165,97,51.859,1.87047,0.035847,0.035213,0.028813,0.042594,False,
cell_06_00,26.5,88.5,4.5,7d,0.019165,4,51.859,0.077133,0.001478,0.001477,0.000499,0.003509,True,Low-statistics cell (N=4 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_01,26.5,89.5,4.5,7d,0.019165,9,51.859,0.173549,0.003326,0.003321,0.001644,0.006052,False,
cell_06_02,26.5,90.5,4.5,7d,0.019165,15,51.859,0.289248,0.005543,0.005528,0.003236,0.008873,False,
cell_06_03,26.5,91.5,4.5,7d,0.019165,27,51.859,0.520646,0.009978,0.009929,0.006703,0.014197,False,
cell_06_04,26.5,92.5,4.5,7d,0.019165,80,51.859,1.542655,0.029565,0.029132,0.023331,0.03593,False,
cell_06_05,26.5,93.5,4.5,7d,0.019165,27,51.859,0.520646,0.009978,0.009929,0.006703,0.014197,False,
cell_06_06,26.5,94.5,4.5,7d,0.019165,7,51.859,0.134982,0.002587,0.002584,0.001156,0.005066,False,
cell_06_07,26.5,95.5,4.5,7d,0.019165,39,51.859,0.752044,0.014413,0.01431,0.010351,0.019301,False,
cell_07_00,27.5,88.5,4.5,7d,0.019165,35,51.859,0.674912,0.012935,0.012851,0.009122,0.017617,False,
cell_07_01,27.5,89.5,4.5,7d,0.019165,7,51.859,0.134982,0.002587,0.002584,0.001156,0.005066,False,
cell_07_02,27.5,90.5,4.5,7d,0.019165,8,51.859,0.154266,0.002956,0.002952,0.001397,0.005563,False,
cell_07_03,27.5,91.5,4.5,7d,0.019165,23,51.859,0.443513,0.0085,0.008464,0.00552,0.012454,False,
cell_07_04,27.5,92.5,4.5,7d,0.019165,72,51.859,1.38839,0.026608,0.026258,0.020764,0.032754,False,
cell_07_05,27.5,93.5,4.5,7d,0.019165,5,51.859,0.096416,0.001848,0.001846,0.000705,0.004042,False,
cell_07_06,27.5,94.5,4.5,7d,0.019165,7,51.859,0.134982,0.002587,0.002584,0.001156,0.005066,False,
cell_07_07,27.5,95.5,4.5,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
