cell_id,lat_center,lon_center,threshold,horizon,horizon_years,n_events_above_threshold,exposure_years,expected_rate_per_year,expected_count,probability_at_least_one,probability_ci_lower,probability_ci_upper,low_statistics,notes
cell_05_01,25.5,89.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_02,25.5,90.5,5.0,7d,0.019165,7,51.859,0.134982,0.002587,0.002584,0.001156,0.005066,False,
cell_05_03,25.5,91.5,5.0,7d,0.019165,9,51.859,0.173549,0.003326,0.003321,0.001644,0.006052,False,
cell_05_04,25.5,92.5,5.0,7d,0.019165,5,51.859,0.096416,0.001848,0.001846,0.000705,0.004042,False,
cell_05_05,25.5,93.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_05_06,25.5,94.5,5.0,7d,0.019165,14,51.859,0.269965,0.005174,0.00516,0.002961,0.008413,False,
cell_05_07,25.5,95.5,5.0,7d,0.019165,30,51.859,0.578496,0.011087,0.011026,0.007603,0.015488,False,
cell_06_00,26.5,88.5,5.0,7d,0.019165,3,51.859,0.05785,0.001109,0.001108,0.000312,0.002954,True,Low-statistics cell (N=3 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_01,26.5,89.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_02,26.5,90.5,5.0,7d,0.019165,5,51.859,0.096416,0.001848,0.001846,0.000705,0.004042,False,
cell_06_03,26.5,91.5,5.0,7d,0.019165,6,51.859,0.115699,0.002217,0.002215,0.000925,0.00456,False,
cell_06_04,26.5,92.5,5.0,7d,0.019165,24,51.859,0.462797,0.008869,0.00883,0.005814,0.012892,False,
cell_06_05,26.5,93.5,5.0,7d,0.019165,13,51.859,0.250681,0.004804,0.004793,0.002689,0.00795,False,
cell_06_06,26.5,94.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_06_07,26.5,95.5,5.0,7d,0.019165,10,51.859,0.192832,0.003696,0.003689,0.001898,0.006534,False,
cell_07_00,27.5,88.5,5.0,7d,0.019165,20,51.859,0.385664,0.007391,0.007364,0.004648,0.011128,False,
cell_07_01,27.5,89.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_02,27.5,90.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_03,27.5,91.5,5.0,7d,0.019165,9,51.859,0.173549,0.003326,0.003321,0.001644,0.006052,False,
cell_07_04,27.5,92.5,5.0,7d,0.019165,29,51.859,0.559213,0.010717,0.01066,0.007302,0.015059,False,
cell_07_05,27.5,93.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_06,27.5,94.5,5.0,7d,0.019165,2,51.859,0.038566,0.000739,0.000739,0.000154,0.002368,True,Low-statistics cell (N=2 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
cell_07_07,27.5,95.5,5.0,7d,0.019165,1,51.859,0.019283,0.00037,0.000369,4e-05,0.001726,True,Low-statistics cell (N=1 < 5); rate CI is wide; do not interpret point rate as precise.; Low-statistics cell: forecast probability has a wide CI; do not interpret point estimate as precise.
